variable,name,definition,class,resolution,source,provider,citation,covariate_extraction,prediction_resolution,years,temporal_matching,
ERAMAP_1km,Annual precipitation,Mean Annual Precipitation (MAP),Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to previous covariate year,
ERAMAT_1km,Annual temperature,Mean Annual Temperature (MAT),Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to previous covariate year,
ERAPPTsm_1km,Summer precipitation,Summer (Jun to Aug) (S) Precipitation,Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to previous covariate year,
ERAPPTwt_1km,Winter precipitation,Winter (Dec to Feb) (W) Precipitation,Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to previous covariate year,
ERATavesm_1km,Summer temperature,Summer (Jun to Aug) Mean (SM) Temperature,Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to previous covariate year,
ERATavewt_1km,Winter temperature,Winter (Dec to Feb) Mean (WM) temperature,Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to previous covariate year,
ERAPPTsmt_1km,Summer precipitation,Summer (Jun to Aug) (S) Precipitation,Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to nearest covariate year,
ERATavesmt_1km,Summer temperature,Summer (Jun to Aug) Mean (SM) Temperature,Annual Climate,27830 metres,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY,ECMWF / Copernicus Climate Change Service,"Copernicus Climate Change Service (C3S) (2017): ERA5: Fifth generation of ECMWF atmospheric reanalyses of the global climate. Copernicus Climate Change Service Climate Data Store (CDS), (date of access), https://cds.climate.copernicus.eu/cdsapp#!/home",point,1 kilometre,1980-2019,matched to nearest covariate year,
ETHheight_1km,Local forest height,Mean local forest canopy height,Biomass,10 metres,https://gee-community-catalog.org/projects/canopy/#license,"Lang, Nico, Walter Jetz, Konrad Schindler, and Jan Dirk Wegner","Lang, Nico, Walter Jetz, Konrad Schindler, and Jan Dirk Wegner. ""A high-resolution canopy height model of the Earth."" arXiv preprint arXiv:2204.08322 (2022).",point,1 kilometre,2020,no matching,
ETHheight_5x5,Landscape forest height,Mean landscape forest canopy height,Biomass,10 metres,https://gee-community-catalog.org/projects/canopy/#license,"Lang, Nico, Walter Jetz, Konrad Schindler, and Jan Dirk Wegner","Lang, Nico, Walter Jetz, Konrad Schindler, and Jan Dirk Wegner. ""A high-resolution canopy height model of the Earth."" arXiv preprint arXiv:2204.08322 (2022).",point,5x5 convolution kernel,2020,no matching,
